title,description,pubdate
"Sara Sharif's father told police he killed her at home, court hears","Urfan Sharif claims his wife caused Sara's death and he was trying to protect her, a jury hears.","Mon, 14 Oct 2024 15:16:46 GMT"
Gregg Wallace denies inappropriate sexual comments,"Wallace says an incident was investigated, and the outcome was ""I hadn't said anything sexual"".","Mon, 14 Oct 2024 15:05:18 GMT"
‘I lost £165k to fraud in an hour’ - customers say they were let down by Revolut,Revolut was named in more complaints about fraud last year than any of the UK’s biggest banks or e-money services. ,"Mon, 14 Oct 2024 06:22:40 GMT"
Australia state premiers accused of 'insulting' King for not attending reception,"Monarchists in Australia accuse state premiers of ""insulting"" King Charles by not attending a reception.","Mon, 14 Oct 2024 11:44:25 GMT"
Starmer defends workers' rights as 'pro-growth',"The prime minister also tells a major business summit he will scrap regulation that ""holds back investment"".","Mon, 14 Oct 2024 14:44:23 GMT"
Israeli shelling of Gaza school kills at least 22,Gaza's Hamas-run Civil Defence Agency said the site was struck by a volley of artillery on Sunday.,"Mon, 14 Oct 2024 10:59:39 GMT"
Officer 'filled with dread' before Kaba shooting,Chris Kaba was shot in the head by a police marksman after being stopped in south London.,"Mon, 14 Oct 2024 13:27:11 GMT"
Strictly's Wynne heartbroken over 'stupid joke',Viewers noticed some apparently awkward moments between the opera singer and his partner Katya Jones.,"Mon, 14 Oct 2024 08:43:01 GMT"
Angry India recalls envoy over 'preposterous' Canada investigation,"India said its diplomats were named as ""persons of interest"" in a criminal investigation in Canada.","Mon, 14 Oct 2024 15:09:35 GMT"
BBC boss warns of Russian and Chinese propaganda due to World Service cuts,"The UK is losing out because of cuts to the World Service, the BBC's director general warns.","Mon, 14 Oct 2024 12:02:58 GMT"
BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests","Tue, 20 Aug 2024 11:35:33 GMT"
Thousands of cars that crash in US are ending up in Russia,"The South Caucasus nation of Georgia has a huge used car market, with many vehicles finding their way over the border.","Sun, 13 Oct 2024 23:28:01 GMT"
WWE’s Cody Rhodes wants WrestleMania to be hosted in UK within next five years,"The ""American Nightmare"" thinks Manchester or London have venues perfect for hosting the event.","Mon, 14 Oct 2024 13:52:04 GMT"
Pokémon maker confirms it was victim of hack,The makers of the hit video game series confirm their servers were accessed by hackers over summer.,"Mon, 14 Oct 2024 08:55:50 GMT"
‘Try or die’ - one man’s determination to get to the Canary Islands,BBC Africa Eye is told that a migrant dies trying to reach the beaches of the Spanish archipelago every 45 minutes.,"Sun, 13 Oct 2024 23:34:03 GMT"
Watch: Why is the latest SpaceX rocket test a big deal?,The BBC's Pallab Ghosh explores why this world first test is a big deal for space exploration.,"Sun, 13 Oct 2024 20:26:14 GMT"
Man says he has been 'left to rot' after Covid vaccine,Larry Lowe used to have an active life but says everyday tasks are now beyond him.,"Mon, 14 Oct 2024 09:16:01 GMT"
A Japanese boy was killed in China. Was cyber-nationalism to blame?,The Chinese government has been accused of using online nationalism as a useful safety valve.,"Sun, 13 Oct 2024 23:29:23 GMT"
"Woman sent cow photo to family just before being trampled to death, inquest told","Rebekah Morris, 29, sent a picture of a field of cows moments before her death, an inquest is told.","Mon, 14 Oct 2024 13:32:21 GMT"
Joker sequel suffers $33m collapse at box office,"The film, which has received mixed reviews, falls to third spot in its second week on the chart.","Mon, 14 Oct 2024 11:43:16 GMT"
Five beheaded bodies found next to road in Mexico,"The rural area, which is plagued by violence, is largely under the control of the powerful Jalisco New Generation Cartel.","Mon, 14 Oct 2024 08:54:02 GMT"
"Briton died while climbing bridge for  social media, Spanish authorities say","The unidentified 26-year-old man fell to his death while creating social media content, according to local authorities. ","Mon, 14 Oct 2024 14:31:03 GMT"
Parts of UK forecast to see temperatures jump to 20C this week,Parts of the country could see a 10C bump in temperatures in the short period of fine weather.,"Mon, 14 Oct 2024 12:42:41 GMT"
Ex-Stasi officer jailed for 1974 Berlin border killing,Martin Naumann shot Czeslaw Kukuczka in the back at Friedrichstrasse station in 1974.,"Mon, 14 Oct 2024 13:36:38 GMT"
Player's kneecap smashed with baseball bat after local football match,Joel Collins was attacked by a group with baseball bats and other weapons at the game on Saturday.,"Mon, 14 Oct 2024 13:27:47 GMT"
"A week on the open Atlantic, hoping to reach Europe",The BBC follows one migrant's journey from Senegal to the Canary Islands,"Mon, 14 Oct 2024 08:55:00 GMT"
Stokes and Potts return for second Test in Pakistan,"Captain Ben Stokes is fit to play in the second Test against Pakistan in Multan, coming in alongside pace bowler Matthew Potts.","Mon, 14 Oct 2024 10:56:12 GMT"
Legal complaint filed against Fifa's 'abuse of dominance',"The top European leagues and players' union Fifpro file a legal complaint against Fifa over what they claim is an ""abuse of dominance"".","Mon, 14 Oct 2024 13:37:22 GMT"
New Zealand take 4-0 lead over GB in America's Cup,New Zealand need only three more wins to claim the America's Cup for a third consecutive year.,"Mon, 14 Oct 2024 13:51:18 GMT"
The stats and shoes behind Chepngetich's amazing marathon world record,How the Kenyan took a step beyond what was thought by knocking almost two minutes off the previous best in Chicago.,"Mon, 14 Oct 2024 12:33:34 GMT"
Harris 'Superman' touchdown leads best plays of NFL week six,"Watch the best plays from week six of the 2024 NFL season, including a diving touchdown by the Pittsburgh Steelers' Najee Harris and strong performances from rookie quarterbacks Caleb Williams, Drake Maye and Bo Nix.","Mon, 14 Oct 2024 12:43:26 GMT"
"Child's death treated as suspicious, three arrested","The death happened in Windmill Court in Dungannon, County Tyrone, on Sunday 13 October.","Mon, 14 Oct 2024 14:55:55 GMT"
Salmond ally hopes family will continue legal action,The former first minister was in the process of suing the Scottish government when he died on Saturday.,"Mon, 14 Oct 2024 13:37:33 GMT"
Footballer's kneecap smashed in baseball bat attack,Joel Collins was attacked by a group with baseball bats and other weapons at the game on Saturday.,"Mon, 14 Oct 2024 13:27:47 GMT"
